NUMMER,AUSGESCHALTET_TXT,BELEUCHTUNGSTYP_TXT,BAUART_TXT,E,N
0,Beleuchtung eingeschaltet,nicht definiert,Stahl gerade,2684448.528,1253657.269
40,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684708.492,1252544.282
32,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684780.859,1252511.224
21,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684869.199,1252435.994
18,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2684892.349,1252422.384
11,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl mit Ausleger,2684950.899,1252410.723
4,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685002.539,1252395.573
97,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685019.72,1253455.663
98,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685048.669,1253464.147
106,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685277.165,1253531.43
108,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685333.751,1253548.075
41,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685687.938,1253585.823
116,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685584.084,1253664.138
117,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685607.945,1253686.765
31,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685664.94,1253833.823
36,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685672.939,1253711.823
19,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685536.943,1254117.823
21,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685600.943,1254097.822
47,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685816.152,1252415.797
42,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl gerade,2685876.842,1252405.187
41,Beleuchtung eingeschaltet,"beleuchtet, überbautes Gebiet",Stahl auf Joch (VRA-Anlage),2685897.622,1252410.66
